deal_id,status,email_dominio,fonte_rd,utm_source_rd,tem_fbclid,tem_gclid,meetime,meetime_desde,classe
461578,open,gmail.com,direto,direto,0,0,s,2026-07-17T18:14:57.575Z,recuperado_rd_direto
461607,lost,INVALIDO,,,0,0,n,,sem_email
461617,won,gmail.com,google,www.google.com,0,0,s,2026-07-21T12:38:00.028Z,recuperado_rd_google
461632,open,grupooramos.com.br,outros,,0,0,s,2026-07-21T14:29:21.747Z,recuperado_rd_outros
461634,won,gmail.com,,,0,0,n,,escuro
461643,won,gmail.com,,,0,0,n,,escuro
461661,won,gmail.com,direto,direto,0,0,s,2026-07-20T19:14:12.392Z,recuperado_rd_direto
461673,lost,gmail.com,outros,,0,0,s,2026-07-21T16:34:32.943Z,recuperado_rd_outros
461676,open,icloud.com,direto,,0,0,s,2026-07-10T01:49:21.642Z,recuperado_rd_direto
461677,open,INVALIDO,,,0,0,n,,sem_email
461700,won,gmail.com,outros,,0,0,s,2026-07-20T13:12:26.315Z,recuperado_rd_outros
461701,open,gmail.com,outros,,0,0,s,2025-04-02T18:05:37.408Z,recuperado_rd_outros
461702,open,yahoo.com,cardapioweb_com,cardapioweb.com,0,0,s,2026-07-21T16:33:54.974Z,recuperado_rd_cardapioweb_com
461703,won,icloud.com,google,google,0,1,s,2026-07-16T17:44:57.439Z,recuperado_rd_google
461706,won,gmail.com,rd_station_link_na_bio,rd_station_link_na_bio,0,0,s,2026-06-27T01:13:34.947Z,recuperado_rd_rd_station_link_na_bio
461707,won,hotmail.com,,,0,0,n,,escuro
